Year,Month,sm_5cm,sm_20cm,sm_60cm
2002,January,0.205,0.208,0.136
2002,January,0.210,0.210,0.136
2002,January,0.202,0.208,0.136
2002,January,0.224,0.210,0.137
2002,January,0.227,0.211,0.137
2002,January,0.224,0.214,0.137
2002,January,0.220,0.213,0.137
2002,January,0.222,0.214,0.138
2002,January,0.220,0.215,0.138
2002,January,0.216,0.215,0.138
2002,January,0.214,0.215,0.139
2002,January,0.209,0.212,0.139
2002,January,0.211,0.215,0.140
2002,January,0.207,0.214,0.140
2002,January,0.204,0.211,0.140
2002,January,0.204,0.212,0.141
2002,January,0.203,0.213,0.141
2002,January,0.197,0.209,0.141
2002,January,0.196,0.208,0.142
2002,January,0.194,0.207,0.142
2002,January,0.191,0.205,0.141
2002,January,0.191,0.206,0.142
2002,January,0.188,0.206,0.142
2002,January,0.186,0.206,0.144
2002,January,0.180,0.202,0.143
2002,January,0.181,0.200,0.143
2002,January,0.181,0.202,0.144
2002,January,0.179,0.200,0.144
2002,January,0.180,0.202,0.145
2002,January,0.241,0.199,0.145
2002,January,0.285,0.196,0.146
2002,February,0.255,0.200,0.145
2002,February,0.248,0.203,0.145
2002,February,0.248,0.206,0.145
2002,February,0.241,0.207,0.146
2002,February,0.324,0.218,0.146
2002,February,0.316,0.256,0.146
2002,February,0.287,0.251,0.146
2002,February,0.277,0.250,0.146
2002,February,0.266,0.246,0.146
2002,February,0.255,0.242,0.146
2002,February,0.246,0.239,0.146
2002,February,0.246,0.238,0.147
2002,February,0.243,0.237,0.147
2002,February,0.238,0.233,0.146
2002,February,0.239,0.235,0.148
2002,February,0.233,0.231,0.148
2002,February,0.230,0.230,0.148
2002,February,0.229,0.229,0.149
2002,February,0.224,0.227,0.149
2002,February,0.219,0.224,0.150
2002,February,0.216,0.223,0.151
2002,February,0.210,0.217,0.151
2002,February,0.210,0.217,0.151
2002,February,0.204,0.213,0.152
2002,February,0.197,0.209,0.153
2002,February,0.189,0.205,0.153
2002,February,0.192,0.206,0.154
2002,February,0.190,0.204,0.153
2002,March,0.189,0.202,0.154
2002,March,0.185,0.202,0.155
2002,March,0.176,0.197,0.153
2002,March,0.177,0.195,0.152
2002,March,0.181,0.197,0.153
2002,March,0.179,0.195,0.154
2002,March,0.174,0.190,0.153
2002,March,0.174,0.189,0.156
2002,March,0.169,0.184,0.155
2002,March,0.165,0.180,0.155
2002,March,0.164,0.178,0.156
2002,March,0.162,0.174,0.155
2002,March,0.165,0.175,0.157
2002,March,0.160,0.170,0.157
2002,March,0.156,0.168,0.157
2002,March,0.153,0.165,0.156
2002,March,0.153,0.165,0.156
2002,March,0.156,0.163,0.156
2002,March,0.340,0.161,0.156
2002,March,0.330,0.174,0.155
2002,March,0.281,0.193,0.155
2002,March,0.259,0.194,0.154
2002,March,0.257,0.195,0.153
2002,March,0.249,0.195,0.153
2002,March,0.232,0.192,0.153
2002,March,0.226,0.188,0.153
2002,March,0.219,0.185,0.152
2002,March,0.210,0.182,0.152
2002,March,0.197,0.177,0.152
2002,March,0.366,0.297,0.152
2002,March,0.362,0.332,0.152
2002,April,0.326,0.306,0.152
2002,April,0.298,0.290,0.152
2002,April,0.280,0.276,0.152
2002,April,0.271,0.267,0.153
2002,April,0.263,0.261,0.154
2002,April,0.262,0.257,0.155
2002,April,0.277,0.256,0.156
2002,April,0.266,0.250,0.157
2002,April,0.256,0.246,0.158
2002,April,0.246,0.240,0.159
2002,April,0.230,0.229,0.159
2002,April,0.214,0.218,0.159
2002,April,0.205,0.210,0.159
2002,April,0.199,0.202,0.159
2002,April,0.187,0.187,0.157
2002,April,0.175,0.171,0.156
2002,April,0.166,0.162,0.154
2002,April,0.161,0.155,0.152
2002,April,0.158,0.152,0.150
2002,April,0.155,0.150,0.149
2002,April,0.150,0.147,0.147
2002,April,0.147,0.144,0.145
2002,April,0.145,0.143,0.144
2002,April,0.142,0.141,0.142
2002,April,0.186,0.138,0.141
2002,April,0.314,0.136,0.141
2002,April,0.283,0.138,0.141
2002,April,0.237,0.140,0.141
2002,April,0.205,0.141,0.142
2002,April,0.179,0.141,0.142
2002,May,0.160,0.140,0.141
2002,May,0.149,0.138,0.141
2002,May,0.145,0.137,0.140
2002,May,0.142,0.137,0.139
2002,May,0.140,0.137,0.139
2002,May,0.138,0.136,0.139
2002,May,0.136,0.137,0.139
2002,May,0.132,0.136,0.139
2002,May,0.127,0.136,0.139
2002,May,0.124,0.135,0.139
2002,May,0.122,0.135,0.137
2002,May,0.121,0.135,0.137
2002,May,0.118,0.134,0.137
2002,May,0.117,0.134,0.137
2002,May,0.117,0.134,0.138
2002,May,0.114,0.134,0.137
2002,May,0.110,0.133,0.137
2002,May,0.111,0.134,0.138
2002,May,0.108,0.133,0.137
2002,May,0.106,0.133,0.136
2002,May,0.106,0.133,0.137
2002,May,0.104,0.132,0.136
2002,May,0.105,0.133,0.136
2002,May,0.104,0.134,0.138
2002,May,0.102,0.133,0.139
2002,May,0.101,0.132,0.137
2002,May,0.101,0.133,0.139
2002,May,0.101,0.131,0.137
2002,May,0.101,0.131,0.137
2002,May,0.101,0.133,0.139
2002,May,0.100,0.133,0.138
2002,June,0.099,0.134,0.140
2002,June,0.097,0.134,0.139
2002,June,0.096,0.133,0.140
2002,June,0.166,0.131,0.139
2002,June,0.330,0.129,0.140
2002,June,0.296,0.129,0.140
2002,June,0.288,0.130,0.140
2002,June,0.283,0.132,0.140
2002,June,0.344,0.132,0.140
2002,June,0.337,0.135,0.140
2002,June,0.324,0.138,0.140
2002,June,0.307,0.140,0.140
2002,June,0.302,0.143,0.140
2002,June,0.292,0.146,0.141
2002,June,0.283,0.147,0.141
2002,June,0.278,0.150,0.141
2002,June,0.274,0.152,0.141
2002,June,0.271,0.155,0.141
2002,June,0.266,0.158,0.142
2002,June,0.261,0.161,0.142
2002,June,0.256,0.163,0.142
2002,June,0.253,0.166,0.142
2002,June,0.249,0.168,0.143
2002,June,0.244,0.171,0.143
2002,June,0.238,0.173,0.143
2002,June,0.231,0.175,0.143
2002,June,0.226,0.174,0.143
2002,June,0.229,0.175,0.143
2002,June,0.227,0.179,0.143
2002,June,0.218,0.178,0.144
2002,July,0.210,0.179,0.144
2002,July,0.200,0.177,0.144
2002,July,0.193,0.177,0.144
2002,July,0.185,0.175,0.144
2002,July,0.181,0.173,0.144
2002,July,0.181,0.171,0.144
2002,July,0.196,0.168,0.143
2002,July,0.196,0.166,0.143
2002,July,0.192,0.166,0.143
2002,July,0.187,0.166,0.143
2002,July,0.181,0.165,0.144
2002,July,0.177,0.163,0.144
2002,July,0.174,0.162,0.144
2002,July,0.170,0.160,0.144
2002,July,0.167,0.158,0.145
2002,July,0.162,0.156,0.145
2002,July,0.156,0.154,0.145
2002,July,0.153,0.152,0.145
2002,July,0.148,0.152,0.145
2002,July,0.141,0.150,0.145
2002,July,0.136,0.148,0.145
2002,July,0.133,0.147,0.145
2002,July,0.129,0.146,0.145
2002,July,0.125,0.145,0.145
2002,July,0.121,0.143,0.144
2002,July,0.118,0.142,0.144
2002,July,0.115,0.141,0.143
2002,July,0.113,0.141,0.144
2002,July,0.113,0.139,0.144
2002,July,0.112,0.138,0.143
2002,July,0.112,0.137,0.142
2002,August,0.111,0.138,0.142
2002,August,0.110,0.139,0.144
2002,August,0.108,0.137,0.142
2002,August,0.107,0.137,0.142
2002,August,0.105,0.136,0.141
2002,August,0.104,0.135,0.141
2002,August,0.104,0.135,0.142
2002,August,0.103,0.135,0.142
2002,August,0.103,0.135,0.143
2002,August,0.138,0.134,0.143
2002,August,0.181,0.132,0.142
2002,August,0.181,0.132,0.142
2002,August,0.172,0.132,0.142
2002,August,0.165,0.132,0.142
2002,August,0.160,0.133,0.142
2002,August,0.155,0.133,0.142
2002,August,0.150,0.133,0.142
2002,August,0.146,0.133,0.142
2002,August,0.144,0.135,0.142
2002,August,0.137,0.134,0.142
2002,August,0.136,0.133,0.142
2002,August,0.137,0.132,0.141
2002,August,0.139,0.133,0.141
2002,August,0.138,0.133,0.141
2002,August,0.138,0.134,0.141
2002,August,0.134,0.133,0.141
2002,August,0.130,0.133,0.141
2002,August,0.126,0.133,0.141
2002,August,0.132,0.133,0.142
2002,August,0.142,0.132,0.141
2002,August,0.145,0.133,0.141
2002,September,0.146,0.134,0.141
2002,September,0.144,0.133,0.141
2002,September,0.145,0.134,0.141
2002,September,0.142,0.133,0.141
2002,September,0.140,0.134,0.141
2002,September,0.137,0.134,0.141
2002,September,0.135,0.134,0.141
2002,September,0.132,0.134,0.141
2002,September,0.129,0.134,0.141
2002,September,0.127,0.134,0.141
2002,September,0.124,0.133,0.141
2002,September,0.125,0.134,0.141
2002,September,0.124,0.133,0.140
2002,September,0.129,0.133,0.140
2002,September,0.147,0.132,0.140
2002,September,0.161,0.132,0.139
2002,September,0.164,0.132,0.139
2002,September,0.163,0.132,0.139
2002,September,0.156,0.132,0.139
2002,September,0.155,0.131,0.139
2002,September,0.154,0.131,0.139
2002,September,0.153,0.132,0.139
2002,September,0.151,0.132,0.139
2002,September,0.151,0.133,0.139
2002,September,0.147,0.132,0.139
2002,September,0.145,0.132,0.139
2002,September,0.144,0.133,0.139
2002,September,0.141,0.133,0.139
2002,September,0.139,0.133,0.139
2002,September,0.135,0.133,0.139
2002,October,0.134,0.133,0.139
2002,October,0.132,0.133,0.139
2002,October,0.129,0.133,0.139
2002,October,0.128,0.132,0.139
2002,October,0.128,0.132,0.138
2002,October,0.130,0.132,0.138
2002,October,0.128,0.132,0.138
2002,October,0.127,0.131,0.138
2002,October,0.127,0.131,0.138
2002,October,0.127,0.131,0.138
2002,October,0.128,0.131,0.138
2002,October,0.128,0.131,0.138
2002,October,0.128,0.131,0.138
2002,October,0.128,0.130,0.137
2002,October,0.128,0.131,0.137
2002,October,0.128,0.131,0.137
2002,October,0.128,0.131,0.137
2002,October,0.127,0.131,0.137
2002,October,0.126,0.130,0.137
2002,October,0.126,0.130,0.137
2002,October,0.126,0.130,0.136
2002,October,0.126,0.130,0.136
2002,October,0.205,0.129,0.136
2002,October,0.279,0.128,0.136
2002,October,0.300,0.129,0.136
2002,October,0.281,0.131,0.135
2002,October,0.322,0.133,0.135
2002,October,0.346,0.188,0.135
2002,October,0.323,0.278,0.135
2002,October,0.296,0.272,0.134
2002,October,0.281,0.264,0.134
2002,November,0.280,0.258,0.134
2002,November,0.288,0.259,0.133
2002,November,0.283,0.261,0.133
2002,November,0.283,0.258,0.133
2002,November,0.283,0.259,0.133
2002,November,0.275,0.258,0.133
2002,November,0.271,0.257,0.133
2002,November,0.271,0.257,0.133
2002,November,0.271,0.258,0.134
2002,November,0.266,0.258,0.134
2002,November,0.259,0.253,0.134
2002,November,0.254,0.250,0.134
2002,November,0.252,0.247,0.134
2002,November,0.252,0.246,0.134
2002,November,0.248,0.244,0.134
2002,November,0.248,0.239,0.134
2002,November,0.247,0.238,0.134
2002,November,0.247,0.239,0.134
2002,November,0.244,0.237,0.134
2002,November,0.242,0.236,0.135
2002,November,0.241,0.236,0.135
2002,November,0.240,0.236,0.135
2002,November,0.239,0.235,0.135
2002,November,0.236,0.234,0.135
2002,November,0.231,0.231,0.136
2002,November,0.229,0.228,0.135
2002,November,0.226,0.225,0.135
2002,November,0.226,0.224,0.135
2002,November,0.227,0.224,0.135
2002,November,0.227,0.225,0.136
2002,December,0.226,0.224,0.136
2002,December,0.227,0.225,0.136
2002,December,0.328,0.267,0.136
2002,December,0.324,0.300,0.136
2002,December,0.305,0.286,0.136
2002,December,0.297,0.280,0.136
2002,December,0.289,0.275,0.138
2002,December,0.286,0.271,0.140
2002,December,0.294,0.271,0.145
2002,December,0.283,0.269,0.151
2002,December,0.280,0.266,0.157
2002,December,0.275,0.264,0.162
2002,December,0.271,0.261,0.166
2002,December,0.270,0.259,0.170
2002,December,0.269,0.258,0.174
2002,December,0.270,0.258,0.178
2002,December,0.269,0.257,0.184
2002,December,0.266,0.257,0.191
2002,December,0.260,0.254,0.197
2002,December,0.255,0.249,0.201
2002,December,0.255,0.247,0.203
2002,December,0.252,0.246,0.205
2002,December,0.256,0.243,0.206
2002,December,0.256,0.242,0.207
2002,December,0.247,0.241,0.207
2002,December,0.250,0.240,0.207
2002,December,0.245,0.239,0.208
2002,December,0.246,0.239,0.208
2002,December,0.249,0.238,0.208
2002,December,0.249,0.239,0.208
2002,December,0.246,0.239,0.209
2003,January,0.245,0.238,0.209
2003,January,0.244,0.237,0.209
2003,January,0.242,0.236,0.209
2003,January,0.242,0.236,0.209
2003,January,0.242,0.236,0.209
2003,January,0.241,0.235,0.210
2003,January,0.239,0.234,0.210
2003,January,0.240,0.234,0.210
2003,January,0.239,0.235,0.210
2003,January,0.235,0.233,0.210
2003,January,0.233,0.231,0.210
2003,January,0.232,0.231,0.210
2003,January,0.231,0.229,0.210
2003,January,0.231,0.229,0.209
2003,January,0.231,0.229,0.209
2003,January,0.228,0.228,0.209
2003,January,0.225,0.225,0.209
2003,January,0.224,0.224,0.209
2003,January,0.225,0.223,0.208
2003,January,0.226,0.224,0.208
2003,January,0.226,0.225,0.208
2003,January,0.222,0.223,0.209
2003,January,0.219,0.221,0.208
2003,January,0.217,0.220,0.208
2003,January,0.218,0.219,0.207
2003,January,0.219,0.220,0.207
2003,January,0.218,0.220,0.207
2003,January,0.217,0.220,0.207
2003,January,0.215,0.220,0.208
2003,January,0.213,0.219,0.208
2003,January,0.211,0.218,0.208
2003,February,0.209,0.218,0.208
2003,February,0.207,0.218,0.208
2003,February,0.204,0.218,0.208
2003,February,0.199,0.214,0.208
2003,February,0.198,0.212,0.207
2003,February,0.197,0.211,0.207
2003,February,0.195,0.209,0.206
2003,February,0.194,0.208,0.205
2003,February,0.194,0.208,0.205
2003,February,0.193,0.207,0.204
2003,February,0.192,0.206,0.204
2003,February,0.191,0.205,0.204
2003,February,0.191,0.206,0.204
2003,February,0.190,0.205,0.205
2003,February,0.186,0.203,0.205
2003,February,0.183,0.199,0.205
2003,February,0.183,0.197,0.205
2003,February,0.181,0.195,0.204
2003,February,0.179,0.194,0.204
2003,February,0.177,0.192,0.204
2003,February,0.177,0.191,0.203
2003,February,0.176,0.190,0.203
2003,February,0.175,0.188,0.202
2003,February,0.171,0.186,0.202
2003,February,0.170,0.184,0.200
2003,February,0.171,0.183,0.199
2003,February,0.172,0.183,0.199
2003,February,0.171,0.182,0.198
2003,March,0.171,0.181,0.198
2003,March,0.169,0.180,0.198
2003,March,0.168,0.178,0.197
2003,March,0.168,0.177,0.196
2003,March,0.165,0.175,0.195
2003,March,0.165,0.173,0.194
2003,March,0.164,0.172,0.192
2003,March,0.164,0.170,0.190
2003,March,0.162,0.169,0.188
2003,March,0.160,0.167,0.187
2003,March,0.160,0.166,0.185
2003,March,0.159,0.165,0.182
2003,March,0.157,0.163,0.179
2003,March,0.156,0.162,0.176
2003,March,0.154,0.160,0.173
2003,March,0.153,0.159,0.170
2003,March,0.152,0.158,0.167
2003,March,0.149,0.156,0.164
2003,March,0.147,0.155,0.162
2003,March,0.146,0.154,0.161
2003,March,0.145,0.153,0.159
2003,March,0.145,0.153,0.158
2003,March,0.145,0.153,0.157
2003,March,0.146,0.152,0.155
2003,March,0.146,0.152,0.154
2003,March,0.145,0.150,0.152
2003,March,0.146,0.150,0.151
2003,March,0.144,0.149,0.151
2003,March,0.143,0.147,0.150
2003,March,0.145,0.147,0.149
2003,March,0.145,0.147,0.148
2003,April,0.146,0.147,0.147
2003,April,0.147,0.147,0.146
2003,April,0.148,0.146,0.145
2003,April,0.145,0.145,0.145
2003,April,0.144,0.144,0.144
2003,April,0.143,0.144,0.144
2003,April,0.141,0.142,0.143
2003,April,0.140,0.142,0.143
2003,April,0.138,0.141,0.142
2003,April,0.138,0.141,0.142
2003,April,0.137,0.141,0.142
2003,April,0.136,0.141,0.141
2003,April,0.135,0.141,0.141
2003,April,0.134,0.140,0.141
2003,April,0.131,0.140,0.141
2003,April,0.130,0.139,0.141
2003,April,0.128,0.139,0.140
2003,April,0.127,0.138,0.140
2003,April,0.126,0.138,0.140
2003,April,0.125,0.137,0.140
2003,April,0.125,0.137,0.140
2003,April,0.123,0.137,0.140
2003,April,0.123,0.136,0.140
2003,April,0.123,0.136,0.139
2003,April,0.123,0.136,0.139
2003,April,0.123,0.137,0.139
2003,April,0.121,0.136,0.139
2003,April,0.120,0.136,0.139
2003,April,0.119,0.136,0.139
2003,April,0.119,0.136,0.139
2003,May,0.118,0.136,0.139
2003,May,0.117,0.136,0.139
2003,May,0.117,0.136,0.139
2003,May,0.116,0.136,0.139
2003,May,0.115,0.135,0.139
2003,May,0.114,0.135,0.139
2003,May,0.113,0.135,0.139
2003,May,0.112,0.135,0.139
2003,May,0.111,0.134,0.139
2003,May,0.110,0.134,0.138
2003,May,0.109,0.134,0.139
2003,May,0.109,0.134,0.138
2003,May,0.109,0.134,0.138
2003,May,0.108,0.135,0.139
2003,May,0.108,0.135,0.139
2003,May,0.107,0.134,0.139
2003,May,0.107,0.134,0.139
2003,May,0.107,0.134,0.139
2003,May,0.106,0.135,0.140
2003,May,0.170,0.133,0.140
2003,May,0.201,0.131,0.139
2003,May,0.203,0.131,0.139
2003,May,0.204,0.132,0.139
2003,May,0.208,0.133,0.139
2003,May,0.295,0.132,0.140
2003,May,0.311,0.131,0.140
2003,May,0.283,0.131,0.139
2003,May,0.275,0.133,0.139
2003,May,0.270,0.135,0.140
2003,May,0.263,0.137,0.141
2003,May,0.256,0.138,0.141
2003,June,0.283,0.138,0.141
2003,June,0.273,0.139,0.141
2003,June,0.266,0.140,0.142
2003,June,0.257,0.141,0.142
2003,June,0.266,0.141,0.142
2003,June,0.325,0.140,0.142
2003,June,0.298,0.143,0.141
2003,June,0.284,0.144,0.141
2003,June,0.280,0.145,0.141
2003,June,0.274,0.148,0.141
2003,June,0.269,0.152,0.141
2003,June,0.260,0.155,0.142
2003,June,0.249,0.159,0.142
2003,June,0.238,0.161,0.142
2003,June,0.228,0.164,0.142
2003,June,0.215,0.166,0.143
2003,June,0.199,0.167,0.143
2003,June,0.183,0.165,0.143
2003,June,0.171,0.162,0.143
2003,June,0.165,0.158,0.143
2003,June,0.161,0.156,0.143
2003,June,0.156,0.153,0.143
2003,June,0.152,0.150,0.144
2003,June,0.147,0.147,0.144
2003,June,0.142,0.145,0.145
2003,June,0.222,0.142,0.145
2003,June,0.239,0.141,0.144
2003,June,0.231,0.142,0.144
2003,June,0.217,0.143,0.144
2003,June,0.222,0.141,0.144
2003,July,0.218,0.143,0.144
2003,July,0.204,0.144,0.144
2003,July,0.187,0.145,0.145
2003,July,0.170,0.145,0.145
2003,July,0.159,0.146,0.145
2003,July,0.150,0.145,0.146
2003,July,0.144,0.144,0.146
2003,July,0.140,0.143,0.146
2003,July,0.137,0.142,0.146
2003,July,0.134,0.142,0.146
2003,July,0.128,0.142,0.146
2003,July,0.123,0.141,0.146
2003,July,0.119,0.140,0.146
2003,July,0.115,0.139,0.146
2003,July,0.113,0.138,0.146
2003,July,0.110,0.138,0.146
2003,July,0.108,0.137,0.146
2003,July,0.107,0.137,0.146
2003,July,0.106,0.136,0.146
2003,July,0.104,0.136,0.146
2003,July,0.103,0.135,0.146
2003,July,0.102,0.135,0.146
2003,July,0.101,0.135,0.146
2003,July,0.100,0.135,0.146
2003,July,0.099,0.134,0.146
2003,July,0.098,0.133,0.146
2003,July,0.098,0.133,0.146
2003,July,0.097,0.132,0.146
2003,July,0.097,0.132,0.146
2003,July,0.096,0.131,0.146
2003,July,0.096,0.131,0.146
2003,August,0.095,0.131,0.146
2003,August,0.095,0.130,0.146
2003,August,0.094,0.130,0.146
2003,August,0.094,0.130,0.146
2003,August,0.093,0.129,0.146
2003,August,0.092,0.128,0.146
2003,August,0.092,0.128,0.146
2003,August,0.091,0.127,0.146
2003,August,0.091,0.127,0.146
2003,August,0.091,0.126,0.146
2003,August,0.091,0.126,0.146
2003,August,0.090,0.125,0.145
2003,August,0.090,0.124,0.145
2003,August,0.090,0.123,0.145
2003,August,0.090,0.122,0.144
2003,August,0.091,0.122,0.144
2003,August,0.091,0.122,0.144
2003,August,0.091,0.122,0.144
2003,August,0.090,0.122,0.144
2003,August,0.090,0.121,0.144
2003,August,0.090,0.121,0.144
2003,August,0.089,0.121,0.144
2003,August,0.091,0.120,0.143
2003,August,0.092,0.120,0.143
2003,August,0.093,0.120,0.143
2003,August,0.092,0.120,0.143
2003,August,0.091,0.120,0.143
2003,August,0.091,0.119,0.143
2003,August,0.091,0.119,0.143
2003,August,0.114,0.118,0.143
2003,August,0.140,0.116,0.142
2003,September,0.144,0.116,0.141
2003,September,0.148,0.116,0.141
2003,September,0.149,0.117,0.141
2003,September,0.151,0.117,0.141
2003,September,0.151,0.118,0.141
2003,September,0.150,0.118,0.141
2003,September,0.148,0.118,0.141
2003,September,0.145,0.118,0.141
2003,September,0.145,0.118,0.141
2003,September,0.146,0.119,0.140
2003,September,0.145,0.119,0.141
2003,September,0.143,0.119,0.140
2003,September,0.143,0.119,0.140
2003,September,0.140,0.119,0.140
2003,September,0.138,0.119,0.140
2003,September,0.139,0.119,0.140
2003,September,0.137,0.120,0.140
2003,September,0.133,0.120,0.140
2003,September,0.129,0.119,0.138
2003,September,0.128,0.120,0.139
2003,September,0.125,0.120,0.139
2003,September,0.123,0.120,0.139
2003,September,0.122,0.121,0.139
2003,September,0.120,0.121,0.139
2003,September,0.118,0.121,0.139
2003,September,0.117,0.121,0.139
2003,September,0.117,0.121,0.139
2003,September,0.117,0.121,0.139
2003,September,0.117,0.121,0.139
2003,September,0.116,0.121,0.139
2003,October,0.115,0.121,0.139
2003,October,0.113,0.121,0.139
2003,October,0.113,0.121,0.139
2003,October,0.111,0.121,0.138
2003,October,0.112,0.120,0.138
2003,October,0.114,0.121,0.138
2003,October,0.116,0.121,0.138
2003,October,0.116,0.120,0.138
2003,October,0.119,0.120,0.138
2003,October,0.119,0.121,0.138
2003,October,0.121,0.121,0.138
2003,October,0.120,0.121,0.138
2003,October,0.122,0.120,0.138
2003,October,0.122,0.121,0.138
2003,October,0.122,0.120,0.138
2003,October,0.123,0.121,0.137
2003,October,0.123,0.121,0.137
2003,October,0.122,0.121,0.137
2003,October,0.122,0.121,0.137
2003,October,0.121,0.121,0.137
2003,October,0.120,0.121,0.137
2003,October,0.118,0.122,0.138
2003,October,0.116,0.122,0.138
2003,October,0.115,0.122,0.137
2003,October,0.112,0.121,0.137
2003,October,0.111,0.121,0.137
2003,October,0.111,0.120,0.137
2003,October,0.110,0.121,0.137
2003,October,0.109,0.121,0.137
